repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,144324,Shell,2025-10-13T12:12:29Z,0.83,222,0,2026-08-06T13:29:47Z,6,54,87,0.617
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144077,Python,2022-10-17T02:58:36Z,3.82,17214,1000,2026-08-12T14:31:50Z,0,345,9608,0.9653
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,142754,,2025-03-05T16:38:29Z,1.43,52,0,2026-08-11T13:01:09Z,1,91,120,0.5687
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,141798,TypeScript,2016-07-05T05:00:48Z,10.1,494,0,2026-08-07T12:06:42Z,5,34,92,0.7302
vercel/next.js,https://github.com/vercel/next.js,141740,JavaScript,2016-10-05T23:32:51Z,9.85,28121,1000,2026-08-12T14:02:37Z,0,2235,22910,0.9111
anthropics/claude-code,https://github.com/anthropics/claude-code,141177,Python,2025-02-22T17:41:21Z,1.46,161,185,2026-08-11T19:50:58Z,0,15108,68293,0.8189
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140940,Python,2010-10-31T14:35:07Z,15.78,1646,341,2026-02-19T16:45:25Z,173,3627,23204,0.8648
microsoft/PowerToys,https://github.com/microsoft/PowerToys,137687,C,2019-05-01T17:44:02Z,7.28,6972,137,2026-08-12T13:45:00Z,0,7326,33714,0.8215
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,137364,TypeScript,2023-11-21T18:24:03Z,2.72,1004,67,2026-08-12T12:22:40Z,0,397,5387,0.9314
golang/go,https://github.com/golang/go,135728,Go,2014-08-19T04:33:40Z,11.98,1,0,2026-08-12T02:34:37Z,0,9720,63077,0.8665
iptv-org/iptv,https://github.com/iptv-org/iptv,135709,TypeScript,2018-11-14T22:00:57Z,7.74,6980,0,2026-08-12T12:32:23Z,0,16,34136,0.9995
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135318,Markdown,2020-02-19T09:01:23Z,6.48,244,0,2026-02-28T10:07:31Z,165,4,975,0.9959
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,132285,Python,2024-04-29T05:30:25Z,2.29,237,0,2026-08-10T07:26:18Z,2,4,167,0.9766
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,131550,HTML,2015-03-18T21:06:26Z,11.4,3073,0,2026-08-12T14:19:54Z,0,0,0,
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,129421,TypeScript,2020-01-02T01:04:43Z,6.61,3959,15,2026-08-12T10:10:33Z,0,2258,2648,0.5397
krahets/hello-algo,https://github.com/krahets/hello-algo,129374,Java,2022-11-04T11:08:34Z,3.77,994,10,2026-07-24T07:32:34Z,19,13,278,0.9553
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128690,JavaScript,2017-11-29T17:35:03Z,8.7,855,12,2026-08-08T05:23:45Z,4,0,300,1.0
garrytan/gstack,https://github.com/garrytan/gstack,127662,TypeScript,2026-03-11T21:22:45Z,0.42,297,0,2026-08-08T16:28:45Z,3,402,337,0.456
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,127014,Python,2023-01-17T03:15:56Z,3.57,3122,152,2026-08-12T10:04:51Z,0,4062,5020,0.5527
farion1231/cc-switch,https://github.com/farion1231/cc-switch,126663,Rust,2025-08-04T14:16:16Z,1.02,438,50,2026-08-12T14:09:46Z,0,1416,3152,0.69
github/spec-kit,https://github.com/github/spec-kit,126385,Python,2025-08-21T22:54:31Z,0.97,1348,210,2026-08-12T14:18:08Z,0,153,1326,0.8966
react/react-native,https://github.com/react/react-native,126330,C++,2015-01-09T18:10:16Z,11.59,999,471,2026-08-12T13:11:10Z,0,678,27089,0.9756
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,124455,Go,2014-06-06T22:56:04Z,12.18,65645,810,2026-08-12T12:38:12Z,0,1809,47699,0.9635
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,123639,C++,2023-03-10T18:58:00Z,3.42,9641,1000,2026-08-12T14:08:53Z,0,696,8690,0.9258
electron/electron,https://github.com/electron/electron,122468,C++,2013-04-12T01:47:36Z,13.33,26488,1000,2026-08-12T13:01:16Z,0,680,21132,0.9688
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121167,TypeScript,2023-01-04T12:43:27Z,3.6,1426,116,2026-08-12T14:17:41Z,0,1062,3168,0.7489
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,120205,Rust,2020-09-28T15:36:08Z,5.87,4197,39,2026-08-12T13:36:07Z,0,78,4217,0.9818
nodejs/node,https://github.com/nodejs/node,118895,JavaScript,2014-11-26T19:57:11Z,11.71,13140,512,2026-08-12T13:38:42Z,0,706,20044,0.966
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118306,,2013-11-04T01:59:19Z,12.77,300,3,2026-07-29T00:39:06Z,14,0,0,
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,118080,,2016-03-30T15:47:10Z,10.37,41,0,2026-07-26T03:29:02Z,17,0,0,
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,117595,Jupyter Notebook,2023-06-19T16:28:59Z,3.15,601,0,2026-08-06T03:44:01Z,6,0,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,116015,Python,2025-11-30T11:36:31Z,0.7,137,40,2026-08-12T10:20:40Z,0,38,134,0.7791
godotengine/godot,https://github.com/godotengine/godot,115604,C++,2014-01-04T16:05:36Z,12.6,43287,71,2026-08-11T16:46:17Z,0,13372,49905,0.7887
rust-lang/rust,https://github.com/rust-lang/rust,115458,Rust,2010-06-16T20:39:03Z,16.15,73388,153,2026-08-12T14:36:01Z,0,11420,52064,0.8201
mrdoob/three.js,https://github.com/mrdoob/three.js,114465,JavaScript,2010-03-23T18:58:01Z,16.39,15953,177,2026-08-12T14:17:45Z,0,245,13479,0.9821
2dust/v2rayN,https://github.com/2dust/v2rayN,113653,C#,2019-07-30T03:47:24Z,7.04,593,332,2026-08-10T07:09:04Z,2,24,7093,0.9966
d3/d3,https://github.com/d3/d3,113447,Shell,2010-09-27T17:22:42Z,15.87,495,194,2026-05-28T14:43:01Z,75,6,2241,0.9973
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,110765,Swift,2016-07-17T15:33:47Z,10.07,1239,15,2026-08-11T17:44:47Z,0,156,403,0.7209
immich-app/immich,https://github.com/immich-app/immich,110287,TypeScript,2022-02-03T15:56:27Z,4.52,9978,305,2026-08-12T14:28:12Z,0,479,8630,0.9474
microsoft/TypeScript,https://github.com/microsoft/TypeScript,110161,TypeScript,2014-06-17T15:28:39Z,12.15,14893,217,2026-08-10T23:12:50Z,1,5055,38189,0.8831
tauri-apps/tauri,https://github.com/tauri-apps/tauri,110148,Rust,2019-07-13T09:09:37Z,7.08,5660,0,2026-08-12T09:35:02Z,0,1282,5128,0.8
axios/axios,https://github.com/axios/axios,109225,JavaScript,2014-08-18T22:30:27Z,11.98,1478,123,2026-08-11T17:49:10Z,0,48,5005,0.9905
browser-use/browser-use,https://github.com/browser-use/browser-use,108924,Python,2024-10-31T16:00:56Z,1.78,1888,134,2026-08-11T17:33:21Z,0,97,1504,0.9394
