repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
fxsjy/jieba,https://github.com/fxsjy/jieba,35123,Python,2012-09-29T07:52:01Z,13.89,96,9,2024-08-21T09:23:45Z,728,646,231,0.2634
geekan/HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,35102,,2022-04-16T04:15:18Z,4.34,14,0,2025-05-19T14:10:41Z,456,39,103,0.7254
DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io,35059,TypeScript,2025-03-23T15:03:48Z,1.4,443,18,2026-08-19T02:03:05Z,0,143,189,0.5693
utmapp/UTM,https://github.com/utmapp/UTM,35054,Swift,2019-04-12T16:09:24Z,7.35,292,130,2026-08-05T07:54:18Z,14,1074,2630,0.71
netty/netty,https://github.com/netty/netty,35039,Java,2010-11-09T09:22:21Z,15.78,5762,13,2026-08-19T08:58:09Z,0,584,6364,0.9159
hehonghui/awesome-english-ebooks,https://github.com/hehonghui/awesome-english-ebooks,35038,CSS,2022-06-28T02:45:44Z,4.14,0,0,2026-08-14T21:46:01Z,4,0,0,
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,35037,Go,2013-03-24T17:18:38Z,13.4,592,0,2024-08-14T07:04:25Z,735,0,0,
bumptech/glide,https://github.com/bumptech/glide,35026,Java,2013-07-08T22:52:33Z,13.11,640,59,2026-08-17T07:19:17Z,2,593,3941,0.8692
sorrycc/awesome-javascript,https://github.com/sorrycc/awesome-javascript,35015,,2014-07-01T15:59:02Z,12.13,413,0,2026-08-17T07:30:04Z,2,5,107,0.9554
zellij-org/zellij,https://github.com/zellij-org/zellij,34995,Rust,2020-09-01T14:04:28Z,5.96,1523,69,2026-08-18T06:54:02Z,1,1527,1303,0.4604
awesome-foss/awesome-sysadmin,https://github.com/awesome-foss/awesome-sysadmin,34927,,2014-12-23T08:41:22Z,11.66,369,0,2026-08-19T09:58:40Z,0,0,108,1.0
laravel/framework,https://github.com/laravel/framework,34874,PHP,2013-01-10T21:27:28Z,13.6,18486,966,2026-08-18T20:33:37Z,0,57,19255,0.997
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,34859,TypeScript,2023-07-08T17:24:22Z,3.11,299,199,2026-08-19T11:34:32Z,0,159,632,0.799
esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,34843,Go,2026-04-21T08:27:02Z,0.33,3359,189,2026-08-19T10:40:27Z,0,1084,3045,0.7375
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,34674,Python,2019-09-05T21:30:20Z,6.95,0,10,2026-08-19T05:38:53Z,0,472,3102,0.8679
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,34643,JavaScript,2019-01-08T06:01:56Z,7.61,161,55,2026-08-18T14:15:53Z,0,145,973,0.8703
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,34588,C++,2016-07-16T10:19:45Z,10.09,705,0,2025-10-11T14:51:22Z,311,10,334,0.9709
BVLC/caffe,https://github.com/BVLC/caffe,34560,C++,2013-09-12T18:39:48Z,12.93,1087,14,2024-07-31T23:10:28Z,748,1289,3939,0.7534
lissy93/web-check,https://github.com/lissy93/web-check,34539,TypeScript,2023-06-25T14:32:11Z,3.15,74,3,2026-08-11T09:01:27Z,8,4,145,0.9732
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,34497,Python,2013-12-20T08:26:28Z,12.66,202,62,2026-08-18T23:58:51Z,0,92,1268,0.9324
v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,34490,Go,2019-04-15T10:05:54Z,7.35,1037,130,2026-08-17T22:52:51Z,1,25,1088,0.9775
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,34473,Python,2016-10-16T14:48:28Z,9.84,1492,143,2026-08-18T23:28:03Z,0,8,6983,0.9989
nothings/stb,https://github.com/nothings/stb,34439,C,2014-05-25T16:51:23Z,12.23,294,0,2026-08-02T06:42:09Z,17,249,738,0.7477
anthropics/financial-services,https://github.com/anthropics/financial-services,34403,Python,2026-02-23T19:24:50Z,0.48,40,0,2026-08-04T14:41:29Z,14,79,9,0.1023
raysan5/raylib,https://github.com/raysan5/raylib,34396,C,2013-10-24T15:46:04Z,12.82,2658,25,2026-08-18T12:33:31Z,1,12,2215,0.9946
derailed/k9s,https://github.com/derailed/k9s,34390,Go,2019-01-25T18:46:02Z,7.56,1066,258,2026-08-19T08:24:07Z,0,47,2327,0.9802
